,SubID,TrialType,RT,ACC
683,14,congruent,372,1
684,14,congruent,528,1
685,14,incongruent,524,1
686,14,congruent,528,1
687,14,incongruent,508,1
688,14,incongruent,530,1
689,14,congruent,390,1
690,14,incongruent,583,1
691,14,congruent,494,1
692,14,congruent,530,1
693,14,incongruent,750,1
694,14,incongruent,544,1
695,14,congruent,486,1
696,14,incongruent,650,1
697,14,incongruent,1311,1
698,14,congruent,499,1
699,14,congruent,370,1
700,14,congruent,405,1
701,14,incongruent,504,1
702,14,incongruent,679,1
703,14,congruent,396,1
704,14,incongruent,516,1
705,14,congruent,438,1
706,14,congruent,431,1
707,14,incongruent,632,1
708,14,congruent,433,1
709,14,congruent,442,1
710,14,incongruent,522,1
711,14,incongruent,838,1
712,14,congruent,457,1
713,14,incongruent,696,1
714,15,congruent,707,1
715,15,incongruent,578,0
716,15,incongruent,849,1
717,15,congruent,438,1
718,15,congruent,423,1
719,15,incongruent,541,0
720,15,congruent,764,1
721,15,incongruent,624,1
722,15,incongruent,615,1
723,15,congruent,486,1
724,15,congruent,530,1
725,15,incongruent,606,1
726,15,congruent,474,1
727,15,incongruent,516,1
728,15,incongruent,645,1
729,15,congruent,505,1
730,15,incongruent,544,1
731,15,incongruent,1135,1
732,15,congruent,432,1
733,15,congruent,449,1
734,15,incongruent,484,1
735,15,congruent,536,0
736,15,congruent,519,1
737,15,incongruent,632,1
738,15,incongruent,618,1
739,15,incongruent,611,1
740,15,congruent,608,1
741,15,congruent,460,1
742,15,congruent,506,1
743,15,incongruent,579,1
744,15,incongruent,562,1
745,15,congruent,710,1
746,15,congruent,408,1
747,15,incongruent,548,1
748,15,incongruent,1222,1
749,15,congruent,415,1
750,15,incongruent,538,1
751,15,congruent,601,1
752,15,congruent,458,1
753,15,incongruent,609,1
754,15,congruent,685,1
755,15,incongruent,786,1
756,15,congruent,440,1
757,15,incongruent,621,1
758,15,congruent,372,1
759,15,congruent,622,1
760,15,incongruent,581,1
761,15,incongruent,543,1
762,15,incongruent,517,1
763,15,congruent,463,1
764,15,incongruent,677,1
765,15,congruent,615,1
766,15,congruent,462,1
767,15,incongruent,511,1
768,15,incongruent,449,1
769,15,congruent,548,1
770,15,incongruent,566,1
771,15,congruent,426,1
772,15,incongruent,512,1
773,15,congruent,441,1
774,15,congruent,434,1
775,15,incongruent,587,1
776,15,congruent,533,1
777,15,incongruent,563,1
778,15,congruent,527,1
779,15,incongruent,547,1
780,15,incongruent,482,1
781,15,congruent,558,1
782,15,congruent,856,1
783,15,congruent,439,1
784,15,incongruent,664,1
785,15,incongruent,672,1
786,15,congruent,497,1
787,15,incongruent,560,1
788,15,incongruent,609,1
789,15,congruent,456,1
790,15,congruent,495,1
791,15,congruent,514,1
792,15,incongruent,780,1
793,15,incongruent,531,1
794,15,congruent,551,1
795,15,congruent,425,1
796,15,incongruent,535,1
797,15,incongruent,518,1
798,15,congruent,479,1
799,15,incongruent,832,1
800,15,congruent,507,1
801,15,incongruent,556,1
802,15,congruent,629,1
803,15,congruent,391,1
804,15,incongruent,528,1
805,15,incongruent,516,1
806,15,incongruent,573,1
807,15,incongruent,633,1
808,15,congruent,419,1
809,15,congruent,425,1
810,15,incongruent,607,1
811,15,congruent,516,1
812,15,congruent,517,1
813,15,incongruent,606,1
814,15,congruent,466,1
815,15,incongruent,537,1
816,16,congruent,1121,1
817,16,incongruent,527,1
818,16,congruent,638,1
819,16,incongruent,539,1
820,16,incongruent,465,1
821,16,congruent,416,1
822,16,incongruent,478,1
823,16,congruent,631,1
824,16,incongruent,1033,1
825,16,congruent,1132,1
826,16,congruent,362,1
827,16,incongruent,285,0
828,16,congruent,472,1
829,16,incongruent,666,1
830,16,congruent,489,1
831,16,incongruent,612,1
832,16,incongruent,489,1
833,16,congruent,1109,1
834,16,congruent,448,1
835,16,incongruent,476,1
836,16,congruent,437,1
837,16,incongruent,494,1
838,16,incongruent,466,1
839,16,congruent,448,1
840,16,incongruent,487,1
841,16,congruent,361,1
842,16,congruent,419,1
843,16,incongruent,409,1
844,16,congruent,397,1
845,16,congruent,405,1
846,16,incongruent,592,1
847,16,incongruent,434,0
848,16,congruent,459,1
849,16,incongruent,497,1
850,16,incongruent,912,1
851,16,congruent,483,1
852,16,congruent,678,1
853,16,incongruent,536,1
854,16,congruent,471,1
855,16,incongruent,528,1
856,16,incongruent,484,1
857,16,congruent,392,1
858,16,congruent,409,1
859,16,incongruent,476,1
860,16,congruent,357,1
861,16,incongruent,510,1
862,16,congruent,599,1
